index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
0,sfgfn,1,-6.2876134,,10240,,,0,1
1,sfgfn,1,-11.946997,,20480,,,1,1
2,sfgfn,1,-13.762222,,30720,,,2,1
3,sfgfn,1,-21.080002,,40960,,,3,1
4,sfgfn,1,-21.080002,,51200,,,4,1
5,sfgfn,1,-21.080002,,61440,,,5,1
6,sfgfn,1,-21.080002,,71680,,,6,1
7,sfgfn,1,-21.080002,,81920,,,7,1
8,sfgfn,1,-21.080002,,92160,,,8,1
9,sfgfn,1,-4.5492735,-4.322386717796325,10240,0.5363386834604854,9,0,10
10,sfgfn,1,-10.130354,-9.524787521362304,20480,0.541634641800676,6,1,10
11,sfgfn,1,-11.5992155,-10.860621166229247,30720,0.537513440860215,8,2,10
12,sfgfn,1,-14.295868,-12.812801361083984,40960,0.6102742478548929,7,3,10
13,sfgfn,1,-14.295868,-12.812801361083984,51200,0.6102742478548929,7,4,10
14,sfgfn,1,-14.295868,-12.812801361083984,61440,0.6102742478548929,7,5,10
15,sfgfn,1,-14.295868,-12.812801361083984,71680,0.6102742478548929,7,6,10
16,sfgfn,1,-17.46289,-14.774160671234132,81920,0.618120545462036,10,7,10
17,sfgfn,1,-17.46289,-14.774160671234132,92160,0.618120545462036,10,8,10
18,sfgfn,1,-3.3286426,-1.91216144323349,10240,0.5234659536502067,39,0,50
19,sfgfn,1,-8.269426,-7.1124596118927,20480,0.5077297466174544,34,1,50
20,sfgfn,1,-9.397049,-7.747183170318603,30720,0.5247002443769643,36,2,50
21,sfgfn,1,-12.234372,-8.095607013702393,40960,0.5871189336936977,39,3,50
22,sfgfn,1,-12.234372,-8.261659030914307,51200,0.5871189336936977,39,4,50
23,sfgfn,1,-12.234372,-8.308577804565429,61440,0.5871189336936977,39,5,50
24,sfgfn,1,-12.234372,-8.368276786804199,71680,0.5871189336936977,39,6,50
25,sfgfn,1,-15.04549,-8.642948923110962,81920,0.6553528529129431,46,7,50
26,sfgfn,1,-15.04549,-8.65788836479187,92160,0.6553528529129431,46,8,50
27,sfgfn,1,-2.783391,-0.956080721616745,10240,0.5196389331911423,79,0,100
28,sfgfn,1,-7.433516,-5.30217337846756,20480,0.49754765299878206,50,1,100
29,sfgfn,1,-8.460018,-5.862860999107361,30720,0.5146773422669532,68,2,100
30,sfgfn,1,-11.32044,-6.042286899089813,40960,0.5850277185860961,81,3,100
31,sfgfn,1,-11.32044,-6.518285965919494,51200,0.5850277185860961,81,4,100
32,sfgfn,1,-11.32044,-6.708958258628845,61440,0.5850277185860961,78,5,100
33,sfgfn,1,-11.32044,-6.8531057643890385,71680,0.5850277185860961,81,6,100
34,sfgfn,1,-14.195612,-6.993719258308411,81920,0.6534340434094522,88,7,100
35,sfgfn,1,-14.195612,-7.057356071472168,92160,0.6534340434094522,88,8,100
36,sfgfn,1,-2.2179606,-0.4780403608083725,10240,0.5237344978318947,143,0,200
37,sfgfn,1,-6.4884453,-2.766570728421211,20480,0.49944684361646324,90,1,200
38,sfgfn,1,-7.490956,-3.1755133467912673,30720,0.502700050444683,109,2,200
39,sfgfn,1,-10.264127,-3.3593965739011766,40960,0.5764658875360879,162,3,200
40,sfgfn,1,-10.265349,-4.671671900749207,51200,0.5757734652909042,161,4,200
41,sfgfn,1,-10.265349,-5.057871696949005,61440,0.5757734652909042,161,5,200
42,sfgfn,1,-10.265349,-5.308236403465271,71680,0.5757734652909042,161,6,200
43,sfgfn,1,-13.257612,-5.36545257806778,81920,0.6464240075114912,178,7,200
44,sfgfn,1,-13.257612,-5.518618166446686,92160,0.6464240075114912,178,8,200
45,mf_random,1,-9.295593,,5309.799999999999,,,0,1
46,mf_random,1,-9.295593,,10322.599999999999,,,1,1
47,mf_random,1,-9.295593,,14959.199999999999,,,2,1
48,mf_random,1,-9.295593,,20328.399999999998,,,3,1
49,mf_random,1,-10.068206,,25182.799999999996,,,4,1
50,mf_random,1,-10.068206,,29898.599999999995,,,5,1
51,mf_random,1,-10.154919,,35148.99999999999,,,6,1
52,mf_random,1,-10.154919,,39864.799999999996,,,7,1
53,mf_random,1,-10.154919,,44818.2,,,8,1
54,mf_random,1,-10.170953,,48999.399999999994,,,9,1
55,mf_random,1,-10.170953,,53853.799999999996,,,10,1
56,mf_random,1,-10.170953,,58173.6,,,11,1
57,mf_random,1,-10.170953,,63245.799999999996,,,12,1
58,mf_random,1,-10.513358,,68238.79999999999,,,13,1
59,mf_random,1,-10.513358,,72518.99999999999,,,14,1
60,mf_random,1,-10.513358,,77729.79999999999,,,15,1
61,mf_random,1,-11.762761,,82762.4,,,16,1
62,mf_random,1,-11.762761,,86943.59999999999,,,17,1
63,mf_random,1,-13.110479,,87758.79999999999,,,18,1
64,mf_random,1,-13.110479,,91543.99999999999,,,19,1
65,mf_random,1,-13.110479,,95962.79999999999,,,20,1
66,mf_random,1,-13.110479,,100836.99999999999,,,21,1
67,mf_random,1,-13.110479,,105651.79999999999,,,22,1
68,mf_random,1,-13.110479,,109476.59999999999,,,23,1
69,mf_random,1,-13.110479,,114627.99999999999,,,24,1
70,mf_random,1,-13.110479,,119680.39999999998,,,25,1
71,mf_random,1,-13.110479,,124356.59999999998,,,26,1
72,mf_random,1,-13.110479,,128715.99999999997,,,27,1
73,mf_random,1,-13.110479,,133689.19999999998,,,28,1
74,mf_random,1,-13.110479,,138781.19999999998,,,29,1
75,mf_random,1,-13.110479,,142803.99999999997,,,30,1
76,mf_random,1,-13.110479,,148192.99999999997,,,31,1
77,mf_random,1,-13.110479,,153284.99999999997,,,32,1
78,mf_random,1,-13.110479,,158396.79999999996,,,33,1
79,mf_random,1,-13.110479,,162835.39999999997,,,34,1
80,mf_random,1,-13.110479,,167392.79999999996,,,35,1
81,mf_random,1,-8.101583,-7.886605167388916,5309.799999999999,0.4749561006805167,4,0,10
82,mf_random,1,-8.367294,-8.274167490005492,10322.599999999999,0.4871351960464863,3,1,10
83,mf_random,1,-8.406637,-8.288940048217773,14959.199999999999,0.4863713750407298,3,2,10
84,mf_random,1,-8.498618,-8.414884567260742,20328.399999999998,0.47294232649071355,3,3,10
85,mf_random,1,-8.699192,-8.678845405578613,25182.799999999996,0.4885118659715435,1,4,10
86,mf_random,1,-8.716055,-8.678845405578613,29898.599999999995,0.48985744542196163,1,5,10
87,mf_random,1,-9.138506,-9.106167602539063,35148.99999999999,0.5195406605918285,2,6,10
88,mf_random,1,-9.17609,-9.106167602539063,39864.799999999996,0.5355343057943169,2,7,10
89,mf_random,1,-9.381201,-9.37243719100952,44818.2,0.5119593506440002,4,8,10
90,mf_random,1,-9.581515,-9.58151626586914,48999.399999999994,0.4869346411838069,5,9,10
91,mf_random,1,-9.599948,-9.599948501586914,53853.799999999996,0.49693002513080387,4,10,10
92,mf_random,1,-9.599948,-9.599948501586914,58173.6,0.49693002513080387,4,11,10
93,mf_random,1,-9.604398,-9.599948501586914,63245.799999999996,0.4965635919821126,4,12,10
94,mf_random,1,-9.754501,-9.649717235565186,68238.79999999999,0.4937104639273716,4,13,10
95,mf_random,1,-9.907918,-9.804869651794434,72518.99999999999,0.49397248345524203,4,14,10
96,mf_random,1,-9.907918,-9.804869651794434,77729.79999999999,0.49397248345524203,4,15,10
97,mf_random,1,-10.30625,-10.173320388793945,82762.4,0.5097109255326718,5,16,10
98,mf_random,1,-10.30625,-10.181441020965575,86943.59999999999,0.5097109255326718,5,17,10
99,mf_random,1,-10.660095,-10.569463157653809,87758.79999999999,0.5064158185268243,5,18,10
100,mf_random,1,-10.727732,-10.624425029754638,91543.99999999999,0.503641027606872,5,19,10
101,mf_random,1,-10.727732,-10.63893918991089,95962.79999999999,0.503641027606872,5,20,10
102,mf_random,1,-10.727732,-10.63893918991089,100836.99999999999,0.503641027606872,5,21,10
103,mf_random,1,-10.727732,-10.659064769744873,105651.79999999999,0.503641027606872,5,22,10
104,mf_random,1,-10.727732,-10.659064769744873,109476.59999999999,0.503641027606872,5,23,10
105,mf_random,1,-10.946744,-10.908579921722412,114627.99999999999,0.5025014055801531,5,24,10
106,mf_random,1,-10.946744,-10.908579921722412,119680.39999999998,0.5025014055801531,5,25,10
107,mf_random,1,-10.946744,-10.908579921722412,124356.59999999998,0.5025014055801531,5,26,10
108,mf_random,1,-10.946744,-10.908579921722412,128715.99999999997,0.5025014055801531,5,27,10
109,mf_random,1,-10.946744,-10.908579921722412,133689.19999999998,0.5025014055801531,5,28,10
110,mf_random,1,-10.946744,-10.908579921722412,138781.19999999998,0.5025014055801531,5,29,10
111,mf_random,1,-10.946744,-10.908579921722412,142803.99999999997,0.5025014055801531,5,30,10
112,mf_random,1,-10.977386,-10.908579921722412,148192.99999999997,0.5078352548252928,5,31,10
113,mf_random,1,-10.987963,-10.957318210601807,153284.99999999997,0.5010735517732672,4,32,10
114,mf_random,1,-10.987963,-10.957318210601807,158396.79999999996,0.5010735517732672,4,33,10
115,mf_random,1,-10.987963,-10.957318210601807,162835.39999999997,0.5010735517732672,4,34,10
116,mf_random,1,-11.082902,-11.062533187866212,167392.79999999996,0.49795224679123457,4,35,10
117,mf_random,1,-6.308459,-6.008260269165039,5309.799999999999,0.4616781197505655,11,0,50
118,mf_random,1,-6.8381324,-6.324056758880615,10322.599999999999,0.47654502037007973,9,1,50
119,mf_random,1,-7.0403304,-6.502299671173096,14959.199999999999,0.4760520438084368,9,2,50
120,mf_random,1,-7.396256,-6.912669019699097,20328.399999999998,0.47923414166961154,7,3,50
121,mf_random,1,-7.6532497,-7.238751487731934,25182.799999999996,0.4794632324343382,6,4,50
122,mf_random,1,-7.7741103,-7.346810531616211,29898.599999999995,0.48368862788555705,8,5,50
123,mf_random,1,-7.96902,-7.605467128753662,35148.99999999999,0.4820773122832287,8,6,50
124,mf_random,1,-7.9997187,-7.609194669723511,39864.799999999996,0.4835829690914065,7,7,50
125,mf_random,1,-8.239238,-7.828384819030762,44818.2,0.4845021475034211,8,8,50
126,mf_random,1,-8.371951,-8.01955457687378,48999.399999999994,0.4870797351034756,10,9,50
127,mf_random,1,-8.4467125,-8.165740814208984,53853.799999999996,0.48985364228611866,9,10,50
128,mf_random,1,-8.465349,-8.181019496917724,58173.6,0.4908173855142219,9,11,50
129,mf_random,1,-8.519857,-8.20447558403015,63245.799999999996,0.4914689212943025,10,12,50
130,mf_random,1,-8.598004,-8.244051294326782,68238.79999999999,0.4913450883452062,11,13,50
131,mf_random,1,-8.741258,-8.331060028076172,72518.99999999999,0.4939485620476467,11,14,50
132,mf_random,1,-8.748076,-8.352564601898193,77729.79999999999,0.4933213847230815,11,15,50
133,mf_random,1,-8.901993,-8.537405881881714,82762.4,0.49331514693622847,12,16,50
134,mf_random,1,-8.994046,-8.604122142791748,86943.59999999999,0.49178552510687057,12,17,50
135,mf_random,1,-9.137088,-8.748690767288208,87758.79999999999,0.49414164484266043,12,18,50
136,mf_random,1,-9.201156,-8.7798375415802,91543.99999999999,0.4933759694856535,12,19,50
137,mf_random,1,-9.268006,-8.842366762161255,95962.79999999999,0.48954257311320587,12,20,50
138,mf_random,1,-9.268006,-8.852422189712524,100836.99999999999,0.48954257311320587,12,21,50
139,mf_random,1,-9.297405,-8.894052038192749,105651.79999999999,0.48671783914438316,12,22,50
140,mf_random,1,-9.325014,-8.930363826751709,109476.59999999999,0.48781241918491386,13,23,50
141,mf_random,1,-9.40006,-9.023013591766357,114627.99999999999,0.4885615138981354,13,24,50
142,mf_random,1,-9.431622,-9.064258222579957,119680.39999999998,0.48902432414538693,14,25,50
143,mf_random,1,-9.502301,-9.070520324707031,124356.59999999998,0.4882101530570768,15,26,50
144,mf_random,1,-9.502301,-9.086491136550903,128715.99999999997,0.4882101530570768,15,27,50
145,mf_random,1,-9.524527,-9.103736934661866,133689.19999999998,0.48929046320722647,14,28,50
146,mf_random,1,-9.543048,-9.119916715621947,138781.19999999998,0.4866290454497099,14,29,50
147,mf_random,1,-9.543048,-9.120236368179322,142803.99999999997,0.4866290454497099,14,30,50
148,mf_random,1,-9.582604,-9.130717849731445,148192.99999999997,0.48812003047033065,15,31,50
149,mf_random,1,-9.655695,-9.214763479232788,153284.99999999997,0.4900680951750273,12,32,50
150,mf_random,1,-9.66044,-9.214763479232788,158396.79999999996,0.49041569839874183,12,33,50
151,mf_random,1,-9.66044,-9.214763479232788,162835.39999999997,0.49041569839874183,12,34,50
152,mf_random,1,-9.711191,-9.249475202560426,167392.79999999996,0.4929725005007131,12,35,50
153,mf_random,1,-5.5017543,-4.865330555438995,5309.799999999999,0.4645905847738192,11,0,100
154,mf_random,1,-6.040477,-5.257610020637512,10322.599999999999,0.4659065941044997,13,1,100
155,mf_random,1,-6.288119,-5.5351069021224975,14959.199999999999,0.4658286957281823,13,2,100
156,mf_random,1,-6.7218733,-5.965908708572388,20328.399999999998,0.473328804121599,16,3,100
157,mf_random,1,-6.9666843,-6.2776515626907345,25182.799999999996,0.4698715831466434,14,4,100
158,mf_random,1,-7.1551147,-6.4444507169723515,29898.599999999995,0.47673538547837807,15,5,100
159,mf_random,1,-7.3418465,-6.663283042907715,35148.99999999999,0.4792785656300693,14,6,100
160,mf_random,1,-7.3949914,-6.713983912467956,39864.799999999996,0.48036041797093865,17,7,100
161,mf_random,1,-7.6578064,-6.9082725763320925,44818.2,0.478550393243589,15,8,100
162,mf_random,1,-7.810257,-7.044153552055359,48999.399999999994,0.47954502511607827,14,9,100
163,mf_random,1,-7.91171,-7.171009550094604,53853.799999999996,0.4793989227725188,12,10,100
164,mf_random,1,-7.9450097,-7.212280855178833,58173.6,0.47937908284385256,13,11,100
165,mf_random,1,-7.9977527,-7.269676809310913,63245.799999999996,0.4787697884449464,13,12,100
166,mf_random,1,-8.063627,-7.327159762382507,68238.79999999999,0.47676894520092966,13,13,100
167,mf_random,1,-8.177891,-7.433797812461853,72518.99999999999,0.47832644310675804,14,14,100
168,mf_random,1,-8.189773,-7.48500018119812,77729.79999999999,0.4792378674180994,15,15,100
169,mf_random,1,-8.2849865,-7.608999009132385,82762.4,0.48098687145286056,16,16,100
170,mf_random,1,-8.371973,-7.699629697799683,86943.59999999999,0.4817990870302472,14,17,100
171,mf_random,1,-8.489376,-7.80063069820404,87758.79999999999,0.48247713482792354,14,18,100
172,mf_random,1,-8.541418,-7.858439421653747,91543.99999999999,0.48140299119085045,14,19,100
173,mf_random,1,-8.609369,-7.9192368602752685,95962.79999999999,0.48187370087879233,15,20,100
174,mf_random,1,-8.614162,-7.955771389007569,100836.99999999999,0.4814204346263612,15,21,100
175,mf_random,1,-8.634915,-7.989904165267944,105651.79999999999,0.4811442911334312,14,22,100
176,mf_random,1,-8.682445,-8.019008684158326,109476.59999999999,0.4830703633189762,15,23,100
177,mf_random,1,-8.731019,-8.061193099021912,114627.99999999999,0.48385525909516197,16,24,100
178,mf_random,1,-8.77551,-8.117383031845092,119680.39999999998,0.4856601995076878,17,25,100
179,mf_random,1,-8.866748,-8.115373468399047,124356.59999999998,0.48940192129407745,18,26,100
180,mf_random,1,-8.885151,-8.159287405014037,128715.99999999997,0.4881850402463951,17,27,100
181,mf_random,1,-8.912871,-8.180298972129822,133689.19999999998,0.4871022316397863,18,28,100
182,mf_random,1,-8.943015,-8.211795406341553,138781.19999999998,0.4849982900990225,17,29,100
183,mf_random,1,-8.95036,-8.224160861968993,142803.99999999997,0.48494691255865685,17,30,100
184,mf_random,1,-8.985587,-8.244390268325805,148192.99999999997,0.48495012604932974,16,31,100
185,mf_random,1,-9.047967,-8.320461711883546,153284.99999999997,0.48825662098612393,16,32,100
186,mf_random,1,-9.056467,-8.320461711883546,158396.79999999996,0.48906414900044,16,33,100
187,mf_random,1,-9.056467,-8.323125944137573,162835.39999999997,0.48906414900044,16,34,100
188,mf_random,1,-9.104449,-8.355474634170532,167392.79999999996,0.49121709831308685,16,35,100
189,mf_random,1,-4.560152,-3.041310719847679,5309.799999999999,0.4566733257867649,24,0,200
190,mf_random,1,-5.201268,-3.8592575752735137,10322.599999999999,0.4626898490211528,20,1,200
191,mf_random,1,-5.510239,-4.316738095283508,14959.199999999999,0.46234113307394104,18,2,200
192,mf_random,1,-5.9459925,-4.738819333314896,20328.399999999998,0.4643127055070798,19,3,200
193,mf_random,1,-6.2044444,-4.985343780517578,25182.799999999996,0.4648360201907596,17,4,200
194,mf_random,1,-6.4202895,-5.1894333302974704,29898.599999999995,0.46812253146810306,19,5,200
195,mf_random,1,-6.5957594,-5.443554908037186,35148.99999999999,0.4701240876621233,20,6,200
196,mf_random,1,-6.6962056,-5.547242685556411,39864.799999999996,0.4707873497494671,22,7,200
197,mf_random,1,-6.9480395,-5.72650609254837,44818.2,0.473120521781617,27,8,200
198,mf_random,1,-7.096298,-5.795193810462951,48999.399999999994,0.47566335038262525,18,9,200
199,mf_random,1,-7.2203274,-5.949956448078155,53853.799999999996,0.4767952836805888,23,10,200
200,mf_random,1,-7.285189,-6.033330919742585,58173.6,0.47693179646316086,19,11,200
201,mf_random,1,-7.334714,-6.084564075469971,63245.799999999996,0.47715921684724083,21,12,200
202,mf_random,1,-7.400026,-6.129268074035645,68238.79999999999,0.47748111650039954,20,13,200
203,mf_random,1,-7.5090904,-6.211715910434723,72518.99999999999,0.4765019714086202,18,14,200
204,mf_random,1,-7.529788,-6.2646856784820555,77729.79999999999,0.4760672417968395,18,15,200
205,mf_random,1,-7.6028576,-6.360599324703217,82762.4,0.4774254797738243,23,16,200
206,mf_random,1,-7.705503,-6.476299252510071,86943.59999999999,0.4758226650791694,20,17,200
207,mf_random,1,-7.8075233,-6.555319218635559,87758.79999999999,0.4759824473152884,24,18,200
